Frequency in Hz	Silk_99 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_99 Sound Reflection Factor continuous Im	
484,375	0,74699205160141	484,375	-0,48630028963089	
487,5	0,748674213886261	487,5	-0,48349991440773	
490,625	0,745484888553619	490,625	-0,489276945590973	
493,75	0,739185631275177	493,75	-0,49146768450737	
496,875	0,737557590007782	496,875	-0,494889676570892	
500	0,740500509738922	500	-0,505650341510773	
503,125	0,735454797744751	503,125	-0,509270966053009	
506,25	0,734668254852295	506,25	-0,510202646255493	
509,375	0,731283247470856	509,375	-0,517817676067352	
512,5	0,722192168235779	512,5	-0,519692480564117	
515,625	0,721922338008881	515,625	-0,515777349472046	
518,75	0,720441162586212	518,75	-0,515429258346558	
521,875	0,713073134422302	521,875	-0,526827573776245	
525	0,708382844924927	525	-0,526105344295502	
528,125	0,712438941001892	528,125	-0,528402328491211	
531,25	0,704405128955841	531,25	-0,530411541461945	
534,375	0,701699137687683	534,375	-0,53137743473053	
537,5	0,698884904384613	537,5	-0,533561885356903	
540,625	0,696569263935089	540,625	-0,53586882352829	
543,75	0,69524484872818	543,75	-0,53240442276001	
546,875	0,690246045589447	546,875	-0,543456614017487	
550	0,687868118286133	550	-0,541405081748962	
553,125	0,682684004306793	553,125	-0,542673826217651	
556,25	0,683266222476959	556,25	-0,543910980224609	
559,375	0,676746726036072	559,375	-0,542910933494568	
562,5	0,675432324409485	562,5	-0,54435008764267	
565,625	0,673474609851837	565,625	-0,54768180847168	
568,75	0,670687437057495	568,75	-0,547880172729492	
571,875	0,669084548950195	571,875	-0,548415005207062	
575	0,668444395065308	575	-0,552692234516144	
578,125	0,665569245815277	578,125	-0,551648557186127	
581,25	0,665837049484253	581,25	-0,557579636573792	
584,375	0,663191914558411	584,375	-0,563066899776459	
587,5	0,661644041538239	587,5	-0,565355598926544	
590,625	0,656859278678894	590,625	-0,567282915115356	
593,75	0,652522623538971	593,75	-0,570699453353882	
596,875	0,651063442230225	596,875	-0,572701394557953	
600	0,644487321376801	600	-0,578162491321564	
603,125	0,64267909526825	603,125	-0,578349947929382	
606,25	0,636463701725006	606,25	-0,58070981502533	
609,375	0,635601937770844	609,375	-0,582401275634766	
612,5	0,631100058555603	612,5	-0,584260821342468	
615,625	0,625716686248779	615,625	-0,586896419525146	
618,75	0,623194813728333	618,75	-0,587249934673309	
621,875	0,621628761291504	621,875	-0,587712228298187	
625	0,616514086723328	625	-0,587329864501953	
628,125	0,611492991447449	628,125	-0,590677082538605	
631,25	0,606263637542725	631,25	-0,589591503143311	
634,375	0,603288173675537	634,375	-0,590826332569122	
637,5	0,601335048675537	637,5	-0,592763066291809	
640,625	0,600769102573395	640,625	-0,591730117797852	
643,75	0,594718635082245	643,75	-0,596143484115601	
646,875	0,59132993221283	646,875	-0,595038115978241	
650	0,589702427387238	650	-0,598633646965027	
653,125	0,58612072467804	653,125	-0,597304403781891	
656,25	0,582871079444885	656,25	-0,596866071224213	
659,375	0,578028678894043	659,375	-0,599265515804291	
662,5	0,578523337841034	662,5	-0,60084480047226	
665,625	0,575864911079407	665,625	-0,603474617004395	
668,75	0,571016311645508	668,75	-0,60298478603363	
671,875	0,569294035434723	671,875	-0,601644515991211	
675	0,563448667526245	675	-0,603182196617126	
678,125	0,559202015399933	678,125	-0,604153692722321	
681,25	0,55794632434845	681,25	-0,605015933513641	
684,375	0,556317448616028	684,375	-0,605840146541595	
687,5	0,557122051715851	687,5	-0,608281791210175	
690,625	0,5472491979599	690,625	-0,612444877624512	
693,75	0,549018085002899	693,75	-0,610230982303619	
696,875	0,54645961523056	696,875	-0,61109870672226	
700	0,541081786155701	700	-0,611861824989319	
703,125	0,538760840892792	703,125	-0,614094793796539	
706,25	0,538336277008057	706,25	-0,614152014255524	
709,375	0,534660160541534	709,375	-0,612922728061676	
712,5	0,525533854961395	712,5	-0,617155790328979	
715,625	0,527661561965942	715,625	-0,617170214653015	
718,75	0,525938749313354	718,75	-0,61918979883194	
721,875	0,521746277809143	721,875	-0,61800354719162	
725	0,519950270652771	725	-0,620927810668945	
728,125	0,514962911605835	728,125	-0,619284927845001	
731,25	0,51423192024231	731,25	-0,621026575565338	
734,375	0,511614143848419	734,375	-0,621309399604797	
737,5	0,511190474033356	737,5	-0,622965097427368	
740,625	0,504313290119171	740,625	-0,621005654335022	
743,75	0,498630791902542	743,75	-0,620247185230255	
746,875	0,4957634806633	746,875	-0,627384305000305	
750	0,494119107723236	750	-0,628629088401794	
753,125	0,493256956338882	753,125	-0,62664520740509	
756,25	0,490424990653992	756,25	-0,625508308410645	
759,375	0,489170104265213	759,375	-0,623494565486908	
762,5	0,489445835351944	762,5	-0,626429557800293	
765,625	0,485334396362305	765,625	-0,625655293464661	
768,75	0,478825002908707	768,75	-0,629969835281372	
771,875	0,472962379455566	771,875	-0,628304839134216	
775	0,473892122507095	775	-0,629146456718445	
778,125	0,471884399652481	778,125	-0,628022372722626	
781,25	0,467357397079468	781,25	-0,630085945129395	
784,375	0,46242019534111	784,375	-0,629491746425629	
787,5	0,456994324922562	787,5	-0,630690634250641	
790,625	0,455358535051346	790,625	-0,631355583667755	
793,75	0,455899715423584	793,75	-0,630373060703278	
796,875	0,455891847610474	796,875	-0,632450342178345	
800	0,451697707176209	800	-0,632410943508148	
803,125	0,452374547719955	803,125	-0,63407701253891	
806,25	0,447308033704758	806,25	-0,633470356464386	
809,375	0,435335129499435	809,375	-0,634455859661102	
812,5	0,442357867956162	812,5	-0,632980108261108	
815,625	0,443373441696167	815,625	-0,633391261100769	
818,75	0,434389919042587	818,75	-0,633141100406647	
821,875	0,434337228536606	821,875	-0,631651341915131	
825	0,439879029989243	825	-0,631619513034821	
828,125	0,434948712587357	828,125	-0,632142186164856	
831,25	0,432139068841934	831,25	-0,61744087934494	
834,375	0,421142965555191	834,375	-0,627894818782806	
837,5	0,421334952116013	837,5	-0,634749233722687	
840,625	0,418738037347794	840,625	-0,636882483959198	
843,75	0,413428068161011	843,75	-0,634719133377075	
846,875	0,414541482925415	846,875	-0,637977600097656	
850	0,412401527166367	850	-0,641053378582001	
