seed,lower_hz,upper_hz,formal_f1_control_rmse,branch_a_rmse,relative_change,maximum_allowed_relative_worsening,passed
42,700.0,1000.0,0.04544491052184621,0.04400988983553049,-0.03157714846035131,0.1,True
42,1300.0,1650.0,0.08807740122553251,0.02464446850790688,-0.7201953263266496,0.1,True
42,1650.0,2000.0,0.09383708894027783,0.036096531752300307,-0.6153276688359997,0.1,True
123,700.0,1000.0,0.04544491052184621,0.04397493209120091,-0.032346381888873066,0.1,True
123,1300.0,1650.0,0.08807740122553251,0.02511607909684046,-0.7148408246909126,0.1,True
123,1650.0,2000.0,0.09383708894027783,0.03641251627066621,-0.6119602954239045,0.1,True
456,700.0,1000.0,0.04544491052184621,0.04552502057079296,0.0017627947338181293,0.1,True
456,1300.0,1650.0,0.08807740122553251,0.026078501923696793,-0.7039138126144329,0.1,True
456,1650.0,2000.0,0.09383708894027783,0.03627153727753544,-0.6134626757164185,0.1,True
