branch,seed,selected_candidate_index,selected_candidate_source,selected_complexity,fit_wall_time_seconds,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max,curve_mean_rmse,curve_median_rmse,curve_p95_rmse,worst_curve_rmse,worst_curve_id,selected_equation
c0,42,9,pysr_hall_of_fame,16,26.93038130000059,0.08910781880661436,0.0689051778733537,0.3735093272094179,0.7803219958123444,-2.5114849429258753e-05,0.21733232107328562,0.9339861696907574,0.08150195816400539,0.07309912297409765,0.15913935215693334,0.1990512496577441,851,log(sqrt(sqrt((log10_sigma * -1.4403732) / (((-0.8501877 - log10_k0_prime__sobol_mod) + (log10_lambda__sobol_mod + log10_k0_prime)) / log10_sigma))))
a,42,2,pysr_hall_of_fame,3,26.803095700000995,0.05785708100275834,0.04135247724310524,0.25678896350821556,0.9073878458610104,0.004229431959577756,-0.09619353596490267,1.0714975610986512,0.049612716641754984,0.04021208498457775,0.11618685810856291,0.14788736426187804,953,z_sigma__f3_mid * 0.091513276
c0,123,9,pysr_hall_of_fame,19,27.542556899992633,0.09941853707074956,0.07322876515668686,0.4262281874230228,0.7265425972353956,-0.00020723554869121142,0.27579118476587244,1.0352681848591836,0.0886295844143825,0.07803155640899756,0.19151100348338118,0.22072570828461574,185,sqrt(sqrt(0.096161194 / (((log10_lambda__sobol_mod * -0.958757) + (log10_lambda__sobol_mod * -0.65736216)) + ((-0.740737 - log10_sigma__sobol_mod) / log10_k0_prime__sobol_mod))) + -0.030613163)
a,123,5,pysr_hall_of_fame,15,26.349058299994795,0.05784531767045667,0.04125860353611532,0.2569499380185245,0.9074255012966398,0.004507880915151357,-0.06264418554327254,1.0714975612582167,0.04948665586070235,0.04026515657266287,0.11678759721088523,0.14824609455679993,953,(((z_sigma__f3_mid + z_sigma__f3_mid) / 0.3998095) * (((z_sigma__f3_mid * -0.00060387806) * z_sigma__f3_mid) + 0.012558717)) / 0.63231754
c0,456,5,pysr_hall_of_fame,19,28.053421200005687,0.09859800217296649,0.07536586569313522,0.41857028236236804,0.7310378433124207,-0.010752231938877971,0.17139346170478365,0.990400721129111,0.08869909248727405,0.08457259761784158,0.17524912927146752,0.2055724659470068,851,-1.1276532 / ((((log10_lambda__sobol_mod + -0.9226537) / 0.2977528) - ((log10_lambda__sobol_mod * (alpha_infinity__sobol_mod - (log10_sigma__sobol_mod * -0.23482758))) + log10_lambda_prime__sobol_mod)) / 1.3062167)
a,456,6,pysr_hall_of_fame,17,26.912211800008663,0.056030291013130555,0.0403853440870244,0.25412282499657063,0.9131438240926381,0.003273632649059922,-0.12054092090479952,1.0714975457976574,0.04874101966526189,0.042015058833557814,0.11511331900255936,0.13845124031299236,953,(z_sigma__f3_mid - (z_sigma__f3_mid * (((z_sigma__f3_mid - 6.570291) * 0.0052170097) / (-0.0046468284 - (z_sigma__f3_mid * z_sigma__f3_mid))))) * 0.103564985
