branch,seed,lower_hz,upper_hz,row_count,rmse,mae,bias
c0,42,100.0,700.0,2400,0.041601617641891665,0.03396031589557261,0.0025636491686429654
c0,42,700.0,1000.0,1200,0.06698087123643245,0.055080890709404674,-0.020040521286424084
c0,42,1000.0,1300.0,1200,0.11273725854103475,0.09683549747457142,-0.004078752557327933
c0,42,1300.0,1650.0,1350,0.13895567817586266,0.11680072549414892,0.015953759615631904
c0,42,1650.0,2000.0,1350,0.13781139411446597,0.11359719665242694,0.01693201583380206
c0,42,2000.0,3000.0,3900,0.09967018954821243,0.08175088182467767,-0.0166565969900027
c0,42,3000.0,4000.0,4050,0.0719895302995581,0.054454665627158325,-0.030728754014761328
c0,42,4000.0,4950.0,3750,0.0657768492590365,0.05567145637176909,0.044619880176740165
c0,42,1300.0,2000.0,2700,0.13838471889100792,0.11519896107328792,0.016442887724716977
a,42,100.0,700.0,2400,0.07292826157456035,0.05771140129744831,-0.014650416882659284
a,42,700.0,1000.0,1200,0.04400988983553049,0.03466116389063753,0.027804806668652145
a,42,1000.0,1300.0,1200,0.0383999183340061,0.02583649965230189,0.022439161287360607
a,42,1300.0,1650.0,1350,0.02464446850790688,0.015616108565423071,0.007332138237810324
a,42,1650.0,2000.0,1350,0.036096531752300307,0.020019803373858162,0.00015854266678775328
a,42,2000.0,3000.0,3900,0.052607819731861696,0.037832890043462915,0.004887650988190346
a,42,3000.0,4000.0,4050,0.06646855574054762,0.050462494446741696,6.009711646627898e-05
a,42,4000.0,4950.0,3750,0.06561916288118592,0.04875550637476762,0.007108181652859132
a,42,1300.0,2000.0,2700,0.030905577430150356,0.017817955969640618,0.0037453404522990383
c0,123,100.0,700.0,2400,0.033608119700567346,0.027024005589275694,-0.010999809728623165
c0,123,700.0,1000.0,1200,0.09003120230448845,0.07273076784591063,0.004237630626477465
c0,123,1000.0,1300.0,1200,0.1393422824698242,0.11627961638325007,0.014769100006618791
c0,123,1300.0,1650.0,1350,0.1638229855020422,0.13815963989291888,0.013456239227846417
c0,123,1650.0,2000.0,1350,0.16087854055291045,0.13431616640668698,0.009412162413111715
c0,123,2000.0,3000.0,3900,0.11530596526321067,0.09313434127489134,-0.00762712254281534
c0,123,3000.0,4000.0,4050,0.0689289618653266,0.055062053865951206,-0.026985424200456992
c0,123,4000.0,4950.0,3750,0.056023990875952764,0.04273456770279645,0.028740519404705598
c0,123,1300.0,2000.0,2700,0.16235743806373143,0.1362379031498029,0.011434200820479067
a,123,100.0,700.0,2400,0.07293887242977098,0.05772474045745065,-0.014649329419568709
a,123,700.0,1000.0,1200,0.04397493209120091,0.03480825960565617,0.02784523872265518
a,123,1000.0,1300.0,1200,0.03764286100901118,0.025734080360806887,0.022817473414682654
a,123,1300.0,1650.0,1350,0.02511607909684046,0.01603969754281091,0.008742641053902942
a,123,1650.0,2000.0,1350,0.03641251627066621,0.019390835816611603,0.0015187670743075307
a,123,2000.0,3000.0,3900,0.0523224648688453,0.03729731950465936,0.005149369649309334
a,123,3000.0,4000.0,4050,0.06662438875104011,0.05056210561662617,7.739873925712654e-05
a,123,4000.0,4950.0,3750,0.06564575880356341,0.048775389062679704,0.007110811230315645
a,123,1300.0,2000.0,2700,0.03127849716946355,0.017715266679711256,0.0051307040641052366
c0,456,100.0,700.0,2400,0.047974346370149724,0.03917835477205673,0.0148498206370908
c0,456,700.0,1000.0,1200,0.0844582708612282,0.06861850764087772,0.0007023134148429066
c0,456,1000.0,1300.0,1200,0.13345928909680446,0.11217999540646936,0.009248273501711708
c0,456,1300.0,1650.0,1350,0.15875129734300075,0.1340315326371555,0.011305438975161014
c0,456,1650.0,2000.0,1350,0.15638698668464074,0.13121876945881908,0.0009446480932382389
c0,456,2000.0,3000.0,3900,0.11206316971653606,0.09077581079057176,-0.025020817985055763
c0,456,3000.0,4000.0,4050,0.07190786269791621,0.058843113399045355,-0.032526330456216786
c0,456,4000.0,4950.0,3750,0.06162058585555469,0.04949604987187046,-0.01099944429554241
c0,456,1300.0,2000.0,2700,0.15757357648474543,0.13262515104798728,0.006125043534199624
a,456,100.0,700.0,2400,0.07201276134105074,0.05651088818404346,-0.014762580917032479
a,456,700.0,1000.0,1200,0.04552502057079296,0.03221529120955306,0.02516745177701268
a,456,1000.0,1300.0,1200,0.04080645459375868,0.027507351345573975,0.021679421569747368
a,456,1300.0,1650.0,1350,0.026078501923696793,0.017775387808226906,0.007779969570077995
a,456,1650.0,2000.0,1350,0.03627153727753544,0.020211739444544463,0.0005867974656151542
a,456,2000.0,3000.0,3900,0.05407183414772691,0.03964556022446081,0.0033173531208911915
a,456,3000.0,4000.0,4050,0.05930101108226055,0.045887007258550785,-0.0019354833303465567
a,456,4000.0,4950.0,3750,0.0632581013061393,0.04703003138646467,0.0068462900973222844
a,456,1300.0,2000.0,2700,0.03158886416967141,0.018993563626385688,0.004183383517846575
