lower_hz,upper_hz,formal_f1_control_rmse,branch_a_median_rmse,relative_change,maximum_allowed_relative_worsening,passed
700.0,1000.0,0.04544491052184621,0.04400988983553049,-0.03157714846035131,0.1,True
1300.0,1650.0,0.08807740122553251,0.02511607909684046,-0.7148408246909126,0.1,True
1650.0,2000.0,0.09383708894027783,0.03627153727753544,-0.6134626757164185,0.1,True
